problem	sub_bucket	commit
check-if-there-is-a-path-with-equal-number-of-0s-and-1s	R3-boolop-condition	b1b09a7/2b1eba4
check-if-word-is-valid-after-substitutions	R2-pyany-overseed	41f2685
elements-in-array-after-removing-and-replacing-elements	R1-list-row-unpack	50d9be9
filling-bookcase-shelves	R1-list-row-unpack	50d9be9
find-nearest-point-that-has-the-same-x-or-y-coordinate	R1-list-row-unpack	50d9be9
find-permutation	R2-pyany-overseed	41f2685
group-the-people-given-the-group-size-they-belong-to	R2-pyany-overseed	41f2685
intervals-between-identical-elements	R2-pyany-overseed	41f2685
lexicographically-smallest-equivalent-string	R2-pyany-overseed	41f2685
longest-univalue-path	R3-boolop-condition	b1b09a7/2b1eba4
maximum-difference-score-in-a-grid	R4-inf-minmax	8415d96
maximum-fruits-harvested-after-at-most-k-steps	R1-list-row-unpack	50d9be9
maximum-number-of-achievable-transfer-requests	R1-list-row-unpack	50d9be9
maximum-profitable-triplets-with-increasing-prices-ii	R3-boolop-condition	b1b09a7/2b1eba4
maximum-white-tiles-covered-by-a-carpet	R1-list-row-unpack	50d9be9
minimum-cuts-to-divide-a-circle	R3-boolop-condition	b1b09a7/2b1eba4
minimum-lines-to-represent-a-line-chart	R1-list-row-unpack	50d9be9
most-stones-removed-with-same-row-or-column	R1-list-row-unpack	50d9be9
next-greater-element-iii	R2-pyany-overseed	41f2685
number-of-adjacent-elements-with-the-same-color	R1-list-row-unpack	50d9be9
number-of-burgers-with-no-waste-of-ingredients	R3-boolop-condition	b1b09a7/2b1eba4
number-of-good-paths	R2-pyany-overseed	41f2685
number-of-same-end-substrings	R2-pyany-overseed	41f2685
plates-between-candles	R1-list-row-unpack	50d9be9
reverse-pairs	R2-pyany-overseed	41f2685
